match_id,participantId,skillSlot,time_stamp
KR_5363384669,10,2,54375
KR_5363384669,8,3,55564
KR_5363384669,6,1,55762
KR_5363384669,5,1,85018
KR_5363384669,7,3,85911
KR_5363384669,3,1,105702
KR_5363384669,1,1,112311
KR_5363384669,2,3,128832
KR_5363384669,8,1,136004
KR_5363384669,1,3,136699
KR_5363384669,6,3,138649
KR_5363384669,9,1,141094
KR_5363384669,10,3,141986
KR_5363384669,3,2,148164
KR_5363384669,8,3,157780
KR_5363384669,4,1,162802
KR_5363384669,7,2,165446
KR_5363384669,1,2,166636
KR_5363384669,6,1,176121
KR_5363384669,5,2,180687
KR_5363384669,3,3,188615
KR_5363384669,2,2,188879
KR_5363384669,1,1,204873
KR_5363384669,8,2,211712
KR_5363384669,4,1,218454
KR_5363384669,6,2,219545
KR_5363384669,5,3,221726
KR_5363384669,3,1,228467
KR_5363384669,10,1,243635
KR_5363384669,1,1,262566
KR_5363384669,8,3,263990
KR_5363384669,7,1,268054
KR_5363384669,2,1,273306
KR_5363384669,9,3,283515
KR_5363384669,6,1,291808
KR_5363384669,3,1,292899
KR_5363384669,9,2,309055
KR_5363384669,4,3,314873
KR_5363384669,7,2,315798
KR_5363384669,1,4,324554
KR_5363384669,10,2,326173
KR_5363384669,5,1,329807
KR_5363384669,2,1,347223
KR_5363384669,8,4,350064
KR_5363384669,5,1,373096
KR_5363384669,4,1,375375
KR_5363384669,3,4,382776
KR_5363384669,7,2,404001
KR_5363384669,1,1,407933
KR_5363384669,9,3,408296
KR_5363384669,2,4,416686
KR_5363384669,6,4,418701
KR_5363384669,8,3,449381
KR_5363384669,10,2,450174
KR_5363384669,7,4,455067
KR_5363384669,6,1,464748
KR_5363384669,3,1,482063
KR_5363384669,4,3,490357
KR_5363384669,5,4,496274
KR_5363384669,9,4,504701
KR_5363384669,8,1,520361
KR_5363384669,10,4,522740
KR_5363384669,1,3,554877
KR_5363384669,2,1,556364
KR_5363384669,7,2,569714
KR_5363384669,6,3,573189
KR_5363384669,3,2,577120
KR_5363384669,9,3,586477
KR_5363384669,3,1,612782
KR_5363384669,4,1,628156
KR_5363384669,7,3,629279
KR_5363384669,8,3,629412
KR_5363384669,6,1,641247
KR_5363384669,2,3,647094
KR_5363384669,9,1,661544
KR_5363384669,1,1,678496
KR_5363384669,10,2,685578
KR_5363384669,3,2,743370
KR_5363384669,8,1,748788
KR_5363384669,4,3,758964
KR_5363384669,6,3,767367
KR_5363384669,9,3,774211
KR_5363384669,7,2,790618
KR_5363384669,10,3,793788
KR_5363384669,2,1,802816
KR_5363384669,5,1,822311
KR_5363384669,9,1,824656
KR_5363384669,4,1,860503
KR_5363384669,8,4,874456
KR_5363384669,1,3,887236
KR_5363384669,3,4,891201
KR_5363384669,5,2,907640
KR_5363384669,2,3,913985
KR_5363384669,7,3,920529
KR_5363384669,4,3,927338
KR_5363384669,6,4,958040
KR_5363384669,8,1,992271
KR_5363384669,10,2,998846
KR_5363384669,3,2,1013851
KR_5363384669,2,4,1023202
KR_5363384669,7,4,1036106
KR_5363384669,9,4,1043406
KR_5363384669,1,4,1071566
KR_5363384669,6,3,1073316
KR_5363384669,8,1,1074903
KR_5363384669,5,1,1112934
KR_5363384669,4,3,1118485
KR_5363384669,10,3,1141844
KR_5363384669,7,3,1151194
KR_5363384669,8,2,1173134
KR_5363384669,9,1,1178058
KR_5363384669,6,3,1198610
KR_5363384669,1,3,1203534
KR_5363384669,2,3,1227728
KR_5363384669,3,2,1232288
KR_5363384669,5,2,1272601
KR_5363384669,4,3,1273361
KR_5363384669,5,4,1291369
KR_5363384669,1,3,1291633
KR_5363384669,3,3,1310565
KR_5363384669,7,3,1318228
KR_5363384669,4,2,1348239
KR_5363384669,8,2,1356633
KR_5363384669,9,1,1385951
KR_5363384669,2,3,1390776
KR_5363384669,1,2,1444945
KR_5363384669,10,4,1499539
KR_5363384669,8,4,1513023
KR_5363384669,6,2,1514113
KR_5363384669,5,2,1517351
KR_5363384669,7,1,1518244
KR_5363384669,4,2,1523068
KR_5363384669,3,3,1531096
KR_5363384669,9,2,1576714
KR_5363384669,2,2,1580582
KR_5363384669,7,1,1641669
KR_5363384669,6,2,1658554
KR_5363384669,4,2,1661758
KR_5363384669,5,2,1662947
KR_5363384669,1,2,1665393
KR_5363384669,3,4,1670815
KR_5363384669,2,2,1676405
KR_5363384669,5,3,1682246
KR_5368576234,2,1,21408
KR_5368576234,8,2,35118
KR_5368576234,4,1,39678
KR_5368576234,1,2,45792
KR_5368576234,10,2,46881
KR_5368576234,7,1,49754
KR_5368576234,5,2,58015
KR_5368576234,3,1,61527
KR_5368576234,9,1,65821
KR_5368576234,6,3,95655
KR_5368576234,9,2,102658
KR_5368576234,2,2,111846
KR_5368576234,5,1,127806
KR_5368576234,6,2,137616
KR_5368576234,8,1,137880
